Skill
Python
Java
SQL
JavaScript
React
React.js
Angular
Node.js
HTML
CSS
Bootstrap
Tailwind CSS
Flask
Django
FastAPI
Spring
Spring Boot
Hibernate
Git
GitHub
Docker
Kubernetes
AWS
Azure
GCP
Linux
MySQL
PostgreSQL
MongoDB
Oracle
SQLite
Redis
Power BI
Tableau
Excel
Pandas
NumPy
Scikit-learn
TensorFlow
PyTorch
Machine Learning
Deep Learning
NLP
Computer Vision
OpenCV
REST API
GraphQL
Microservices
JUnit
Selenium
PyTest
Jenkins
CI/CD
Agile
Scrum
